ID	Name	DC	Item	Value	Weight	Crafting	Requires	ValueNumber	WeightNumber	Multiplier	Misc	Description
grimlock	Grimlock	20	Grimlock Brain	5 gp	4 lb.	Potion of Mind Flayer Resistance		5	4	1		Grimlocks are a pathetic race, descendent from humans craven enough to worship the illithid race as deities. That said, their wretchedness can still prove useful to the rest of us. Generations of exposure to the illithid's experiments and influence has produced a permanent physiological change in the brain of the grimlock that when brewed into a potion, can provide some level of immunity to the abilities of the mind flayers. 
green-hag	Green Hag	10	Green Hag Hair (small pouch)	1 gp	4 lb.			1	4	1		The hair of a green hag flows like rotten reeds at the bottom of a swamp. While unpleasant to both observe and to hold, it possesses some weak magical properties and is often used by seedier alchemists looking for cheap substitutes for higher quality ingredients.
green-hag	Green Hag	10	Hag Blood	3 gp	1 lb.		vial	3	1	3	 (3 vials)	Absolutely reeking of the foulness that permeated the hag's entire being, drinking this blood has the potential to infect a creature with crone's disease. It should also be noted that while the blood smells and tastes as fetid as it looks, alcohol has a neutralising effect on both of these properties. What someone does with that information is entirely out of this writer's control.
green-hag	Green Hag	15	Green Hag Skull	14 gp	10 lb.	Deception Skull		14	10	1		Green hags are notorious for their ability to mimic sounds to lure or scare intruders to their lairs. This ability lingers behind in their skulls and artificers can draw out this latent power to create a magical trinket with much of the same property. In several ways, the hag would probably have enjoyed the idea of its carcass being used for such a macabre activity. 
green-hag	Green Hag	20	Hag Eyeball	50 gp	1 lb.			50	1	1		"Not to be confused with the notorious ""hag eye"" amulet given by hags to their servants, however the two are tightly linked. Despite being severed from its socket, this eye still seems to glare as it did in life. Use: As an action you may concentrate on the hag eyeball while it is in your hand. While doing so, you may utilise that hag's hag eye that same way they would have used it in life. If the hag eye is destroyed while you are concentrating on the hag eyeball, you suffer 3d10 psychic damage and are blinded for 24 hours."
night-hag	Night Hag	10	Night Hag Hair (small pouch)	3 gp	4 lb.	Night Hag Dreamcatcher		3	4	1		As thick and dark as a suffocating night, night hag hair carries some of the magical properties once abused by its previous owner.
night-hag	Night Hag	10	Hag Blood	3 gp	1 lb.		vial	3	1	3	 (3 vials)	Absolutely reeking of the foulness that permeated the hag's entire being, drinking this blood has the potential to infect a creature with crone's disease. It should also be noted that while the blood smells and tastes as fetid as it looks, alcohol has a neutralising effect on both of these properties. What someone does with that information is entirely out of this writer's control.
night-hag	Night Hag	15	Night Hag Skull	25 gp	10 lb.	Nightmare Skull		25	10	1		The skull of the night hag continues to carry the same dark energies that it once held in life, corrupting mortals and driving them mad with nightmares.
night-hag	Night Hag	20	Hag Eyeball	50 gp	1 lb.			50	1	1		"Not to be confused with the notorious ""hag eye"" amulet given by hags to their servants, however the two are tightly linked. Despite being severed from its socket, this eye still seems to glare as it did in life. Use: As an action you may concentrate on the hag eyeball while it is in your hand. While doing so, you may utilise that hag's hag eye that same way they would have used it in life. If the hag eye is destroyed while you are concentrating on the hag eyeball, you suffer 3d10 psychic damage and are blinded for 24 hours."
sea-hag	Sea Hag	10	Sea Hag Hair (small pouch)	1 gp	2 lb.	Potion of Water Breathing (DMG)		1	2	1		Resembling rotten seaweed, the hair of a sea hag can be washed, sliced, dried, and then seeped for a prolonged time to create a potion of water breathing. It should be warned however that drinking a potion made from sea hag hair has the potential to infect a victim with crone's disease. 
sea-hag	Sea Hag	10	Hag Blood	3 gp	1 lb.		vial	3	1	3	 (3 vials)	Absolutely reeking of the foulness that permeated the hag's entire being, drinking this blood has the potential to infect a creature with crone's disease. It should also be noted that while the blood smells and tastes as fetid as it looks, alcohol has a neutralising effect on both of these properties. What someone does with that information is entirely out of this writer's control.
sea-hag	Sea Hag	15	Sea Hag Skull	15 gp	10 lb.	Fear Skull		15	10	1		While devoid of its characteristic facial features, the skull of the sea hag still carries a malevolent aura that chills any that gaze upon it.
sea-hag	Sea Hag	20	Hag Eyeball	50 gp	1 lb.			50	1	1		"Not to be confused with the notorious ""hag eye"" amulet given by hags to their servants, however the two are tightly linked. Despite being severed from its socket, this eye still seems to glare as it did in life. Use: As an action you may concentrate on the hag eyeball while it is in your hand. While doing so, you may utilise that hag's hag eye that same way they would have used it in life. If the hag eye is destroyed while you are concentrating on the hag eyeball, you suffer 3d10 psychic damage and are blinded for 24 hours."
half-dragon	Half Dragon	10	Half-Dragon Blood	8 gp	1 lb.		vial	8	1	3	 (3 vials)	While regular dragon blood is too foreign to have any effect on a humanoid without significant alteration, the diluted nature of a half-dragon's blood allows it to bestow significant benefits on a humanoid imbiber. Use: As an action you may drink the vial of half-dragon blood. For the next 10 minutes, you gain the same type of damage resistance of the half-dragon it was taken from.
half-dragon	Half Dragon	15	Half-Dragon Scales (small pouch)	60 gp	10 lb.	Dra-gone Paste/Drag-on Paste		60	10	1		Half-dragons occupy an odd position in the taxonomy of creatures. This is best reflected in the strange effect that their bodies have on the senses of real dragons around them. Their strange physiology seems to cause them to slip beneath the notice of dragons of their own colour, tricking them into thinking they are one of their own. Taking a half-dragon's scales, grinding them into a powder, and then mixing them with oil creates a paste that other humanoids can apply to their own bodies to avoid or promote detection by dragons.
harpy	Harpy	10	Harpy Feather (small pouch)	4 sp	1 lb.			0.4	1	1		Harpy feathers are notably large but of a fine quality, reflective of the harpies beuaitful but dangerous nature. Too large for fletching, they nonetheless make excellent quills.
harpy	Harpy	15	Harpy Vocal Cords	2 gp	2 lb.	Harpy Harp		2	2	1		If harpies are known for one thing, it is their singing. Their vocal cords are able to produce a wide variety of sounds, and some daring bards have taken to using them as strings for their instruments. Bards with instruments of the harpies are said to play music that can entrance entire rooms of listeners.
harpy	Harpy	20	Harpy Egg	8 gp	3 lb.	Harpy Ink		8	3	1		On a rare occasion, you may slay a harpy that was in the middle of ovulation. Whether the egg is fertilised is irrelevant, as it is the eggshell that holds the true value. When this pink-speckled shell is powdered, it makes a dye with potent magical abilities.
hell-hound	Hell Hound	5	Hell Hound Fur (3 tufts)	10 gp	2 lb.			10	2	1		When a hell hound dies, it is consumed by its internal fire leaving nothing behind but ash of burnt fur. While this is disapointing to harvesters, the fur still has some utility. Use: As an action, you may rub 1 tuft of hell hound fur into your hands. If you do so, for the next minute, whenever you roll a 1 or 2 on a fire damage dice roll, you may reroll that die and you must use the new number. After being used, the tuft of hell hound fur loses its magic and becomes useless.
helmed-horror	Helmed Horror	10	Helmed Horror Helmet	15 gp	8 lb.	Blinders Helm		15	8	1		When crafting a helmed horror, no ordinary helmet will do. One made specifically for the purpose must be comissioned in order to grant the unique senses that the helmed horror possesses. With some time, an artificer can take one of these helms and reconfigure the arcane signatures so that they work for regular humanoids.
helmed-horror	Helmed Horror	15	Helmed Horror Essence	60 gp	1 lb.		spirit paper	60	1	1		The animating spirit of a helmed horror dissipates quickly after its form loses structural integrity. If done quickly however, this spirit can be caught using a sheet of spirit paper. No matter how quick you may be however, some of the spirit will have degraded already, thus any attempt at reusing the spirit is sure to result in a lower quality construct than the original helmed horror. Requires spirit paper. Use: You may spend an hour performing a DC 15 Intelligence (Arcana) check with the spirit paper to transfer the essence to an unworn suit of plate armour. If you are successful, the essence leaves the spirit paper and enters the suit of armour, creating an animated armour under your control. This armour follows your instructions to the best of its ability, but lacks the intelligenec to discern any nuance from your words and follows orders to the letter. This animated armour remains until it is destroyed.
hippogriff	Hippogriff	5	Hippogriff Hooves	4 sp	6 lb.			0.4	6	2	 (x2)	The hooves of a hippogriff contain a unique collagen in them that when rendered creates a high quality adhesive. This glue is prized by leatherworkers and most can never find enough to meet their demand.
hippogriff	Hippogriff	10	Hippogriff Feather	1 gp	1 lb.	Arrow, +1 (DMG)		1	1	10	 (x10)	The pristine feathers of a hippogriff carry an almost supernatural aerodynamic quality to them. Fletchers and sharpshooters prize good condition hippogriff feathers for fletching high quality arrows.
hippogriff	Hippogriff	15	Hippogriff Eye	5 gp	1 lb.	Eyes of the Eagle (DMG)		5	1	2	 (x2)	It is said that a hippogriff can spot a mouse in a field from more than 2 miles over. Whether true or not, they can definitely spot an orcish ambush coming from a few hundred feet out, and this is another reason that hippogriffs are so highly valued as mounts and companions.
hobgoblin	Hobgoblin	5	Hobgoblin Ear	2 sp	1 lb.			0.2	1	1		The body of a hobgoblin holds little practical use for harvesters. Most cities however will pay small bounties for hobgoblin ears,
hobgoblin-captain	Hobgoblin Captain	5	Hobgoblin Ear	2 sp	1 lb.			0.2	1	1		The body of a hobgoblin holds little practical use for harvesters. Most cities however will pay small bounties for hobgoblin ears.
hobgoblin-captain	Hobgoblin Captain	10	Hobgoblin War Braid	1 gp	1 lb.			1	1	1		As a hobgoblin grows in experience and prestige, they grow out their hair into braids that are only ever cut if they lose a battle. These braids hold some value to collectors as well as bounty offices as proof of felling a noteworthy hobgoblin threat.
hobgoblin-warlod	Hobgoblin Warlod	5	Hobgoblin Ear	2 sp	1 lb.			0.2	1	1		The body of a hobgoblin holds little practical use for harvesters. Most cities however will pay small bounties for hobgoblin ears.
hobgoblin-warlod	Hobgoblin Warlod	10	Hobgoblin War Braid	1 gp	1 lb.			1	1	1		As a hobgoblin grows in experience and prestige, they grow out their hair into braids that are only ever cut if they lose a battle. These braids hold some value to collectors as well as bounty offices as proof of felling a noteworthy hobgoblin threat.
hobgoblin-warlod	Hobgoblin Warlod	15	Mark of Maglubiyet	5 gp	2 lb.	Amulet of Maglubiyet		5	2	1		When a hobgoblin becomes powerful enough that they are considered a warlord, they receive a special mark to venerate themselves in the face of their deity: Maglubiyet. If skinned correctly and preserved, this mark can be taken by thaumaturges to craft a trinket imbued with the terrifying influence of the goblinoid god.
homunculus	Homunculus	10	Homunculus Material	40 gp	6 lb.			40	6	1		The destroyed body of a homunculus returns to its mundane components upon its death. These components can be recycled into a new homunculus.
homunculus	Homunculus	20	Homunculus Blood	Varies	2 lb.		enchanted vial	Varies	2	1	 (vial)	The homunculus' blood is the same as its master's: a wizard must bleed onto an empty construct in order to bring it to life. While this imparts a connection to that wizard that they would find useful, it can also be exploited by others skilled in the arcane arts who manage to capture said homunculus. As such, the price of this blood can vary wildly depending on which wizard's homunculus it was taken from. Requires enchanted vial. Use: As an action you may drink the homunculus blood. Doing so gives you all the knowledge that the homunculus had up to the point of its death, including the languages it knew, and the knowledge that its creator shared with it. You may not necessarily understand all of this knowledge, especially if it is of a very esoteric nature and you may not necessarily be able to parse all of it. You retain this knowledge for 10 minutes, after which all of it vanishes from your mind. Once this happens, you become stunned for 1 minute as your mind recovers from the influx of information it received.
hooked-horror	Hooked Horror	5	Hooked Horror Exoskeleton	4 gp	40 lb.			4	40	1		The hooked horror's exoskeleton is harder than iron, but unfortunately is difficult to reshape and thus unsuited for armour. However, it does have several other uses including being used as a sturdy container, building material, or even as using its reverberative nature as a percussion instrument. Many Underdark cultures thus value these exoskeletons when recovered in good condition.
hooked-horror	Hooked Horror	10	Hooked Horror Cochlea	10 gp	1 lb.	Shell of Hearing		10	1	1		The extremely sensitive cochlea of a hooked horror is not unlike that of a bat's. Capable of hearing both extreme distances and different wavelengths, this cochlea serves as a key component for various hearing aids and magical items.
hooked-horror	Hooked Horror	15	Hooked Horror Hook	10 gp	5 lb.	War Pick, +1 (DMG)		10	5	2	 (x2)	The eponymous hooks of the hooked horror. Formed of an extremely hard, yet yielding, keratin material. With slight modifications, these hooks can be turned into a formidable war pick that doubles as a climbing pick. 
hydra	Hydra	5	Hydra Scale (large bag)	15 gp	15 lb.			15	15	1		The scales of a hydra have a long history as art materials in coastal societies; hydras are known for shedding many scales throughout their lifetimes. Durable and of a unique hue, they lend an intimidating aesthetic that many tailors would be eager to get their hands on. 
hydra	Hydra	10	Hydra Blood	5 gp	1 lb.	Potion of Superior Healing (DMG)	vial	5	1	7	 (7 vials)	Hydras are well known for their regenerative abilities, a property that has not gone unnoticed by alchemists. In fact hydra blood is one of many potential catalysts when brewing the ubiquitous healing potion. The hydra's powerful blood is known for brewing notably potent mixtures.
hydra	Hydra	15	Hydra Tooth	3 gp	1 lb.	Arrow, +2 (DMG)		3	1	30	 (x30)	Incredibly sharp and incredibly numerous. Coastal societies have been known to craft deadly arrows and spearheads from the many teeth that hydras leave behind as they lose and grow new heads.
hydra	Hydra	15	Hydra Heart Piece	80 gp	10 lb.			80	10	1		An organ capable of scaling up blood circulation regardless of how many heads its body grows, the heart of a hydra is brimming with magical potential. In fact, the heart of a hydra is so powerful that consuming one can even regrow lost limbs. Use: It takes 10 minutes to consume enough hydra heart to have an effect. Once consumed, you regain all hit points as well as regrow any missing body parts. If a body part is regrown in this way, you feel an intense feeling of hunger and suffer 1 level of exhaustion until you consume at least 5 pounds of food. The hydra heart must be consumed within 24 hours upon the death of the hydra, otherwise it gives no effect.
hydra	Hydra	20	Hydra Spinal Cord	350 gp	20 lb.	Staff of Multiplied Recovery		350	20	1		A hydra's spine is a unique piece of biology, capable of adapting itself to more heads than it was originally suited for. Certain vertebrae in particular are noted for holding strong magic, and when used together can make a powerful healing staff.
intellect-devourer	Intellect Devourer	15	Brain Fluid	4 gp	1 lb.		vial	4	1	1	 (vial)	The fluid that oozes through an intellect devourer is not unlike the mucus secreted by their illithid masters. This fluid however has the unique ability to carry and pass on memories to those that consume it. Use: As an action you may drink a vial of brain fluid. If you do so you must make a DC 12 Intelligence saving throw. On a failure, you become stunned for 1 minute as your mind fails to process the information flooding through it. On a success, you learn the identity of who this intellect devourer used to be, as well as one key memory. The key memory is up to the discretion of the DM, but may be something that the intellect devourer knew in its original life, or something it has learned after becoming an intellect devourer.
intellect-devourer	Intellect Devourer	20	Living Brainstem	12 gp	6 lb.			12	6	1		Living is a strong word in this case. Used here, it really means that the brain still has some capacity for interaction and response to stimuli, due largely to the dark rituals used to transform it into an intellect devourer. While it would be much more merciful to put the brain out of its misery by destroying it entirely, it still offers some use for an adventurer with a strong stomach. Use: For 6 hours after an intellect devourer's death, its main brain continues to send weak signals of psionic wavelengths. When the brain is worn directly on top of a humanoid's head, that humanoid becomes immune to the detect sentience ability of intellect devourers. Instead, an intellect devourer that detects that humanoid will assume that humanoid is a host of a living intellect devourer and will treat them accordingly. However, an intellect devourer that can see without using its blindsight will still notice that a humanoid is wearing a brain on the top of their head and will also react accordingly.
invisible-stalker	Invisible Stalker	15	Mote of Air	100 gp	1 lb.	Elemental Gem (Blue Sapphire) (DMG)	enchanted vial	100	1	1		When an air elemental's summoned form is dispersed, it leaves behind small clumps of dust that continue to carry trace amounts of elemental energy. These need to be collected quickly in specialised containers to prevent further degredation. If collected properly, they can then be used to craft an elemental gem. Requires enchanted vial.
invisible-stalker	Invisible Stalker	20	Stalker's Compass	10 gp	1 lb.		enchanted vial	10	1	1		When an invisible stalker is defeated before it can fulfill its mission, a single wisp of a breeze remains that futiley attempts to make its way to its quarry. If this wisp is captured quickly and prevented from further degredation, it will continue indefinitely attempting to reach its quarry. Resourceful trackers mix small amounts of dye into this container to make a makeshift compass that will lead them to whatever the invisible stalker was originally trying to hunt. Requires enchanted vial.
jackalwere	Jackalwere	10	Jackalwere Eye	8 sp	2 lb.			0.8	2	2	 (x2)	The mesmerising eyes of a jackalwere are able to lure unwary travellers into a slumber, and many commonfolk that live in areas frequented by jackalweres make a habit of looking down when speaking to strangers. Use: If you cast the sleep spell you may use a jackalwere eye as a material component. If you do so, you roll an additional 1d8 when determining the amount of hit points affected. You may only use one jackalwere eye at a time, and once used, a jackelware eye loses its magic and becomes useless.
kenku	Kenku	5	Kenku Feather (small pouch)	8 cp	1 lb.			0.08	1	1		Seeing as how kenkus are unable to fly, their feathers are largely vestigial. Still, despite their often dirty nature, they make for good quills. In fact, a good way to spot a kenku forger is to look for one that has bald patches over their body.
kenku	Kenku	10	Kenku Voice Box	1 sp	2 lb.			0.1	2	1		Other than their propensity for thievery, kenku are known for their uncanny mimicry abilities. Indeed, a kenku's voicebox is one of the most complex and well developed among any humanoid, and particularly resourceful tinkers have figured out how to modify them into unique musical trinkets and instruments. It would be advised however to avoid anyone willing to indulge in such a macabre craft.
winged-kobold	Winged Kobold	5	Kobold Teeth (small pouch)	8 cp	3 lb.			0.08	3	1		Like a crocodile, kobolds continuously grow and lose teeth throughout their lives. As such, their jaws tend to be lined with razor sharp rows of fresh pearly-whites. Kobolds use these for tools and there is no reason why other races should refuse to do the same if the opportunity presented itself.
winged-kobold	Winged Kobold	10	Kobold Wing	1 sp	8 lb.			0.1	8	2	 (x2)	"On a rare occasion, a kobold is born with a pair of wings. While small and relatively weak, the canvas-like skin make for a comfortable connective material in leatherworking. Of course, most leatherworkers advertise it ""dragon flaps,"" since that has a nicer sound than ""dead kobold skin."""
kobold	Kobold	5	Kobold Teeth (small pouch)	8 cp	3 lb.			0.08	3	1		Like a crocodile, kobolds continuously grow and lose teeth throughout their lives. As such, their jaws tend to be lined with razor sharp rows of fresh pearly-whites. Kobolds use these for tools and there is no reason why other races should refuse to do the same if the opportunity presented itself.
kraken	Kraken	10	Kraken Blood	100 gp	1 lb.	Potion of the Sea	vial	100	1	9	 (9 vials)	If anything betrays the kraken's blasphemous nature, it is the vile ichor that it tries to pass off as blood. Reeking of rotten fish and feeling just as slimy, the kraken's blood nontheless is coveted by alchemists for its intense alchemical potential.
kraken	Kraken	10	Kraken Ink	150 gp	1 lb.	Kraken Paint	vial	150	1	6	 (6 vials)	The ink of the kraken is vastly different to that secreted by a mere octopus. With a darkness that seems to leech the light around it, and a chemical mixture venomous to most creatures, this ink naturally has been weaponised by intrepid alchemists.
kraken	Kraken	10	Kraken Tooth	100 gp	20 lb.	Kraken Bolt		100	20	10	 (x10)	"A kraken's tooth is hard and sharp enough to cleave right through the hull of a ship. With that in mind, they make fantastic heads for ballistae bolts and harpoons, and navies reserve their ""kraken bolts"" for only the flagship of their enemies."
kraken	Kraken	15	Kraken Hide	2,000 gp	20 lb.	Kraken Tunic		2000	20	1		A kraken's hide is at once tough and rubbery, capable of absorbing even magically imbued strikes with ease. Only the greatest of tanners are able to work with this hide, and only certain choice sections of it, but those who can are capable of crafting an extremely powerful set of clothes for the marining adventurer.
kraken	Kraken	20	Kraken Crown Scale	4,000 gp	10 lb.	Kraken Shield		4000	10	1		As both armies and gods can attest, the scales of a kraken are nigh unpenetrable, even with magically powered strikes. Particularly prized is the scale located on the crown of the kraken's head which is both incredibly hard and the easiest to work with. Removing them is incredibly difficult however, and takes no small amount of elbow grease. Once pried off, they may be recrafted into a special shield by a blacksmith that has reached the zenith of their craft.
kraken	Kraken	25	Kraken Eye x2	6,000 gp	30 lb.	Loupe of the Depths		6000	30	1		The kraken has most likely forgotten more than ordinary mortals will ever hope to learn. From its watery domains, it has scoured ocean caverns hiding mysteries and treasures that surface dwellers were never meant to see. By taking a kraken's eye and subjecting it to a number of arcane rituals, these secrets can be revealed to a mind capable of handling them.
kraken	Kraken	25	Kraken Heart	12,000 gp	100 lb.			12000	100	3	 (x3)	Not many are aware that a kraken possesses 3 hearts, each with a slightly different circulatory function. In artificing function however they all serve the same purpose. By transfiguring them into crystals, they can be placed around a certain perimeter to act as wards against disastrous environmental effects. Many of the oldest port cities owe their longevity to these wards, or they would have been swept away by the tides long ago. Use: An artificer may spend 1 year performing a daily ritual to transform a kraken heart into a large red crystal with the ability to dampen natural forces. When 3 of these crystals are placed within 5 miles of each other, the area enclosed by them always experiences fair weather. Rain in that area never results in flooding, and waves are magically prevented from washing past the perimeter of that area.
kraken	Kraken	30	Kraken Brain Stem	30,000 gp	20 lb.	Amulet of the Ocean Lord		30000	20	1		Like some cephalapods, the brain of a kraken is actually divided into several areas, particularly focused in their tentacles. In order to facilitate this odd physiology on such a large scale, the main brain of the kraken has a certain electromagnetic quality to it that not only allows it to control its massive body, but also influence sea creatures and the area around it. If the right areas are harvested, they make a powerful amulet that can mimic some of these abilities.
kuo-toa	Kuo-Toa	5	Kuo-Toa Teeth (small pouch)	8 cp	1 lb.			0.08	1	1		The bite of a kuo-toa is not particularly deadly to anything larger than a river fish. Their unique shape however lends them well to doubling as fishing hooks, and many anglers swear that their yields increase when using kuo-toa hooks.
kuo-toa	Kuo-Toa	10	Kuo-Toa Skin	1 sp	10 lb.			0.1	10	1		Kuo-toa skin is notoriously slippery, owing to a mucus that the kuo-toa produces at all times. Soaking a fresh skin in this mucus helps to create a waterproof, if disgusting, tarp.
kuo-toa	Kuo-Toa	15	Kuo-Toa Brain	8 sp	2 lb.	Potion of Sensing		0.8	2	1		The brain of the kuo-toa is one racked by madness as a result of generations of exposure to illithid domination. Placing this brain in a crucible, removing impurities, and then boiling with various compatible catalysts creates a potion that can grant a drinker some of the otherworldly senses of a kuo-toa.
kuo-toa-archpriest	Kuo-Toa Archpriest	5	Kuo-Toa Teeth (small pouch)	8 cp	1 lb.			0.08	1	1		The bite of a kuo-toa is not particularly deadly to anything larger than a river fish. Their unique shape however lends them well to doubling as fishing hooks, and many anglers swear that their yields increase when using kuo-toa hooks.
kuo-toa-archpriest	Kuo-Toa Archpriest	10	Kuo-Toa Skin	1 sp	10 lb.			0.1	10	1		Kuo-toa skin is notoriously slippery, owing to a mucus that the kuo-toa produces at all times. Soaking a fresh skin in this mucus helps to create a waterproof, if disgusting, tarp.
kuo-toa-archpriest	Kuo-Toa Archpriest	20	Kuo-Toa Archpriest Brain	3 gp	2 lb.	Potion of Magical Madness		3	2	1		A kuo-toa archpriest's brain has become noticably more mutated that allows it to both use and bestow spells upon others. This unique brain is both more fragile than a regular kuo-toa's but also more useful in alchemy.
kuo-toa-whip	Kuo-Toa Whip	5	Kuo-Toa Teeth (small pouch)	8 cp	1 lb.			0.08	1	1		The bite of a kuo-toa is not particularly deadly to anything larger than a river fish. Their unique shape however lends them well to doubling as fishing hooks, and many anglers swear that their yields increase when using kuo-toa hooks.
kuo-toa-whip	Kuo-Toa Whip	10	Kuo-Toa Skin	1 sp	10 lb.			0.1	10	1		Kuo-toa skin is notoriously slippery, owing to a mucus that the kuo-toa produces at all times. Soaking a fresh skin in this mucus helps to create a waterproof, if disgusting, tarp.
kuo-toa-whip	Kuo-Toa Whip	15	Kuo-Toa Brain	8 sp	2 lb.	Potion of Sensing		0.8	2	1		The brain of the kuo-toa is one racked by madness as a result of generations of exposure to illithid domination. Placing this brain in a crucible, removing impurities, and then boiling with various compatible catalysts creates a potion that can grant a drinker some of the otherworldly senses of a kuo-toa.
lamia-br-	Lamia	10	Lamia Blood	2 gp	1 lb.	Philter of Love (DMG)	vial	2	1	5	 (5 vials)	As servants of Graz'zt, lamias are the living embodiment of charm and lust. Their blood reflects this and is one of many potential catalysts used when brewing the dreaded philter of love.
lamia-br-	Lamia	15	Lamia Claw	15 gp	9 lb.	Charming Knife		15	9	2	 (x2)	Those that have felt the gentle caress of a lamia know that there is a powerful magic imbued in their limbs. With some careful crafting, this magic can be harnessed into a weapon even beyond the death of its original owner.
lamia-br-	Lamia	20	Lamia Eye	40 gp	1 lb.	Lenses of the Oasis		40	1	2	 (x2)	Lamias treasure beauty above all else, going so far as casting illusions on their own realms to increase their aesthetic appeal. These visions of beauty are so persistent, that even after death, they remain in the lamia's eyes, waiting for an artificer to coax them out again.
lich	Lich	5	Lich Dust	3,000 gp	3 lb.	Lich Censer		3000	3	1		A lich's body is as much a part of it as a strand of hair on a normal human. It holds no significant connection to it, and discards it with little fanfare. This is because the lich's true power is located within its phylactery, its body acting as little more than a physical conduit for its actions. When a lich is defeated however, not all of its wicked spirit dissipates immediately. Quick action and powerful magic can bind the errant wisps of a lich's essence, allowing one to craft a trinket to track the lich wherever they may reform.
lizardfolk	Lizardfolk	5	Lizardfolk Teeth (small pouch)	8 cp	1 lb.			0.08	1	1		Like an alligator, lizardfolk continuously grow and lose teeth over time. They are not above turning these useful pieces of ivory into tools and weaponry, and indeed, there is no reason why the rest of us shouldn't either.
lizardfolk	Lizardfolk	10	Lizardfolk Hide	1 gp	15 lb.	Studded Leather Armour (DMG)		1	15	1		Lizardfolk hide is already about as strong as leather and can withstand cuts and blows that most humanoids would find lethal. These hides can be tanned just like any other reptiles, with the added advantage that it is already in the right configuration for a humanoid to wear.
lizardfolk-shaman	Lizardfolk Shaman	5	Lizardfolk Teeth (small pouch)	8 cp	1 lb.			0.08	1	1		Like an alligator, lizardfolk continuously grow and lose teeth over time. They are not above turning these useful pieces of ivory into tools and weaponry, and indeed, there is no reason why the rest of us shouldn't either.
lizardfolk-shaman	Lizardfolk Shaman	10	Lizardfolk Hide	1 gp	15 lb.	Studded Leather Armour (DMG) 		1	15	1		Lizardfolk hide is already about as strong as leather and can withstand cuts and blows that most humanoids would find lethal. These hides can be tanned just like any other reptiles, with the added advantage that it is already in the right configuration for a humanoid to wear.
lizardfolk-shaman	Lizardfolk Shaman	15	Shamanic Ridge	6 gp	10 lb.			6	10	1		The shamans of a lizardfolk tribe are easy to spot. They sport a distinctive spiked ridge starting from the crown of their skull down to the base of their tail. This ridge is considered to be a gift from their god, and is the source of their shamanic powers. Use: As an action, you may invoke the powers within this ridge to cast the polymorph spell on yourself. The animal form you choose when casting polymorph in this way must be a crocodile. Once used, this item loses its magical properties and becomes effectively useless.
lizardfolk-king-queen	Lizardfolk King/Queen	5	Lizardfolk Teeth (small pouch)	8 cp	1 lb.			0.08	1	1		Like an alligator, lizardfolk continuously grow and lose teeth over time. They are not above turning these useful pieces of ivory into tools and weaponry, and indeed, there is no reason why the rest of us shouldn't either.
lizardfolk-king-queen	Lizardfolk King/Queen	10	Lizardfolk Hide	1 gp	15 lb.	Studded Leather Armour (DMG) 		1	15	1		Lizardfolk hide is already about as strong as leather and can withstand cuts and blows that most humanoids would find lethal. These hides can be tanned just like any other reptiles, with the added advantage that it is already in the right configuration for a humanoid to wear.
lizardfolk-king-queen	Lizardfolk King/Queen	15	Semunaya's Boon	20 gp	4 lb.			20	4	1		The heart of a lizardfolk touched by Sess'Inek is as fetid and rotten as the swamp its owner lives in. This black organ pumps a stinking ichor through a lizardfolk's body, making them stronger and more vicious than its brethren. Eating it can bestow a temporary boon to a normal humanoid, but it is advised only to those with a strong will. Use: As an action, you may eat this item. Upon doing so, you gain the following abilities for the next hour: you are able to hold your breath for 15 minutes, you are immune to the frightened condition, your AC raises to 15 if it was lower than that as your skin becomes scaly, and once per turn, you may deal an extra 3d6 damage on a successful melee weapon attack, and gain temporary hit points equal to the extra damage dealt. Upon eating this item, you must also succeed on a DC 13 Wisdom saving throw or become berserk. While berserk, you must attempt to make a melee weapon attack against the closest creature to you, and/or move as close to them as possible. You remain berserk until the rest of the effects of eating this item also end.
lycanthropes	Lycanthropes	15	Lycanthrope Blood	10 gp	1 lb.	Moon Muzzle Mixture or Lycan Gas	vial	10	1	3	 (3 vials)	Their cursed blood is the one constant that all lycanthropes share regardless of were-shape or original species. Both feared and revered in equal measure, the blood of a lycanthrope is not to be treated carelessly. In the hands of a skilled alchemist, it can be used to dampen the worst side effects of lycanthropy, or spread its contagion even further. Use: As an action, you may drink the vial of lycanthrope blood and infect yourself with lycanthropy. The effect is the same as if you were bitten by a lycanthrope of the same type as that you took the blood from. For more information, refer to page 207 of the Monster Manual.
magmin	Magmin	5	Magma Shell	3 sp	15 lb.	Magmin Pan		0.3	15	1		The leftover shell of a magmin, composed of hard magma. It is quite hard and has impressive insulation qualities that allowed it to house a destructive fire elemental. These shells make for useful tools in alchemy, and it is not uncommon for wizards to summon these creatures just to harvest their shells.
magmin	Magmin	10	Mote of Fire	5 gp	1 lb.	Elemental Gem (Red Corundum) (DMG)	enchanted vial	5	1	1		When a fire elemental's summoned form is dispersed, it leaves behind small embers that continue to carry trace amounts of elemental energy. These need to be collected quickly in specialised containers to prevent further degredation. If collected properly, they can then be used to craft an elemental gem. Requires enchanted vial.
manticore	Manticore	10	Manticore Teeth (small pouch)	1 gp	4 lb.			1	4	1		While a manticore's mouth may resemble a human's, its teeth do not. Displayed in rows of jagged viciousness, these teeth are prized as trophies for their intimidating nature.
